year,region,season,lead_month,sumDry_for,normal_for,sumMonsoon_for,sumDry_obs,normal_obs,sumMonsoon_obs,avgPCP_mmDay,antecedent_3m_for,antecedent_2m_for,antecedent_1m_for,antecedent_3m_obs,antecedent_2m_obs,antecedent_1m_obs,sumq_for,sumq_obs,sumtclw_for,sumtclw_obs,sumtcwv_for,sumtcwv_obs,sumtprate_for,sumtprate_obs,phase_soi,soi,dsst3.4,phase_nino,mei,phase_mei,ant_soi_obs,ant_soi_for,ant_mei_obs,ant_mei_for,ant_dsst3.4_obs,ant_dsst3.4_for
1985,AZ_East,AS,5.0,13.52,27.72,19.76,9,44,8,1.70804415,1.0403617733333333e-08,1.365622935e-08,2.2852866e-08,1.7368584717118443e-08,1.5209117563407408e-08,1.674095986925926e-08,0.017040343,0.0163329544179034,0.095058776,0.048662932232847,42.843346,39.381975881131545,4.3719889e-08,4.489752341850463e-08,,,,,,,1.0,0.8,-0.49,-0.6,-0.35,-0.67
1986,AZ_East,AS,5.0,8.76,29.16,23.08,15,17,29,1.7788666,9.905143433333332e-09,1.30959049e-08,1.896326e-08,1.4961902202740354e-08,2.069376529687037e-08,2.1272494757428242e-08,0.0183153839999999,0.016931773860929,0.105861924,0.056437737240282,45.935069,42.53223436886,5.4640771e-08,4.318208507321296e-08,,,,,,,-0.4,0.5,0.97,-0.4,0.51,-0.26
1987,AZ_East,AS,5.0,12.8,30.16,18.04,18,26,17,1.47413015,8.016787666666666e-09,8.936733350000001e-09,1.5858111e-08,1.5811990666222224e-08,1.703872230286169e-08,1.1883591738202549e-08,0.0173274526,0.0160152731170914,0.094150445,0.0417765173163416,44.280864,39.79647881282556,4.286643e-08,4.0085256898006953e-08,,,,,,,-0.9,-1.3,1.46,1.57,1.76,1.13
1988,AZ_East,AS,5.0,9.88,26.28,24.840000000000003,18,20,23,2.10660385,9.8434195e-09,1.332780275e-08,2.11741e-08,1.0143782202515433e-08,8.691617054706597e-09,3.6706496577870363e-09,0.0188431505,0.0175511598047725,0.108092075,0.0532837527982135,46.885959,42.25027973570226,5.6258756e-08,5.3781599120362276e-08,,,,,,,1.5,0.6,-1.81,0.17,-0.99,0.25
1989,AZ_East,AS,5.0,7.48,26.8,26.72,16,32,13,0.9468104,1.0649895666666669e-08,1.47209816e-08,2.6573106e-08,1.1179016386731866e-08,8.177503419299188e-09,9.512861829876157e-09,0.018857655,0.0148698422597259,0.111871663,0.0357617357183688,47.469563,36.86967279747997,5.8074254e-08,2.3016015681736113e-08,,,,,,,-0.3,1.1,-0.66,-1.24,-0.33,-1.05
1990,AZ_East,AS,5.0,10.4,30.76,19.84,4,39,18,2.12877205,9.589198333333332e-09,1.20349115e-08,1.9312637e-08,1.2546494394182873e-08,1.3648439415730904e-08,1.0953830039921297e-08,0.018290166,0.0170322581113942,0.1015163269999999,0.0606822333114689,46.456842,41.58946407310139,4.9605543e-08,4.5823612960603015e-08,,,,,,,-0.2,-0.4,0.02,0.61,0.42,0.2
1991,AZ_East,AS,5.0,9.88,30.08,21.04,4,33,24,1.46476665,9.1343862e-09,1.13575003e-08,1.8851694e-08,1.8405819755665126e-08,2.1559923366898146e-08,3.138565996543981e-08,0.01767145,0.0171379393704039,0.0991787339999999,0.0495384454751898,45.202295,44.33375945263688,4.6964901e-08,3.5012220209563654e-08,,,,,,,-0.4,-0.7,0.37,0.2,0.69,0.05
1992,AZ_East,AS,5.0,9.8,31.880000000000003,19.32,16,22,23,1.867719335,9.300469566666667e-09,1.022403385e-08,1.6090937e-08,1.980568021732369e-08,2.1791904771946183e-08,2.437734988941898e-08,0.017932954,0.0159983775061108,0.104647704,0.0413856852809593,44.106289,39.25654410217948,5.432353700000001e-08,3.9965958900972226e-08,,,,,,,0.4,-2.0,-0.02,1.71,0.07,1.38
1993,AZ_East,AS,5.0,11.04,27.84,22.12,18,26,17,1.87336792,1.0179159666666664e-08,1.2702308e-08,2.1133749e-08,3.092464743467206e-08,2.2967606776664932e-08,1.1896044113979169e-08,0.0179188946,0.0158606994453619,0.10133494,0.0410771751072846,44.69303,38.803212440824296,4.8050161e-08,4.3301288912396995e-08,,,,,,,-0.9,-0.5,0.6,0.77,0.15,0.4
1994,AZ_East,AS,5.0,9.04,30.08,21.880000000000003,12,31,18,1.5817874500000002,1.1116547333333336e-08,1.43991475e-08,2.2177966e-08,1.0414352633439042e-08,1.4032732914269676e-08,1.0771046111945602e-08,0.0183008014999999,0.016766945656078,0.106330565,0.0439839690411104,45.844722,44.56829871342463,5.34771e-08,2.8230477462165507e-08,,,,,,,-1.2,-0.7,0.87,-0.23,0.54,0.11
