time,q,Month,Year,Region
1965-01-01,0.0031163244926881,1,1965,AZ_West
1965-02-01,0.0024176931323163,2,1965,AZ_West
1965-03-01,0.0028075860966827,3,1965,AZ_West
1965-04-01,0.0035433218050436,4,1965,AZ_West
1965-05-01,0.003118194400723,5,1965,AZ_West
1965-06-01,0.0036824022487985,6,1965,AZ_West
1965-07-01,0.0060475994637614,7,1965,AZ_West
1965-08-01,0.0062445407243815,8,1965,AZ_West
1965-09-01,0.0047327784908718,9,1965,AZ_West
1965-10-01,0.0031207197909237,10,1965,AZ_West
1965-11-01,0.003813077550376,11,1965,AZ_West
1965-12-01,0.0032389675144086,12,1965,AZ_West
1966-01-01,0.0022467011304502,1,1966,AZ_West
1966-02-01,0.0022580318077575,2,1966,AZ_West
1966-03-01,0.0024624422072064,3,1966,AZ_West
1966-04-01,0.0023637120423355,4,1966,AZ_West
1966-05-01,0.0036581403144667,5,1966,AZ_West
1966-06-01,0.0038466029797317,6,1966,AZ_West
1966-07-01,0.0067383979171868,7,1966,AZ_West
1966-08-01,0.0076087600085249,8,1966,AZ_West
1966-09-01,0.0065224854496829,9,1966,AZ_West
1966-10-01,0.0041359322480041,10,1966,AZ_West
1966-11-01,0.0033887455390355,11,1966,AZ_West
1966-12-01,0.0029235994444611,12,1966,AZ_West
1967-01-01,0.002289044438886,1,1967,AZ_West
1967-02-01,0.001974893593024,2,1967,AZ_West
1967-03-01,0.002518496075903,3,1967,AZ_West
1967-04-01,0.0025936400756758,4,1967,AZ_West
1967-05-01,0.003004994659423,5,1967,AZ_West
1967-06-01,0.0043598224301473,6,1967,AZ_West
1967-07-01,0.00751623069095,7,1967,AZ_West
1967-08-01,0.0079233536721145,8,1967,AZ_West
1967-09-01,0.0071542891090922,9,1967,AZ_West
1967-10-01,0.0037924057275427,10,1967,AZ_West
1967-11-01,0.0038842620741001,11,1967,AZ_West
1967-12-01,0.0025743645627706,12,1967,AZ_West
1968-01-01,0.0026332873027173,1,1968,AZ_West
1968-02-01,0.0038485904128508,2,1968,AZ_West
1968-03-01,0.0027626110658274,3,1968,AZ_West
1968-04-01,0.0024794266805251,4,1968,AZ_West
1968-05-01,0.0029970959943939,5,1968,AZ_West
1968-06-01,0.0035281051048652,6,1968,AZ_West
1968-07-01,0.0071299369322851,7,1968,AZ_West
1968-08-01,0.0066070979138228,8,1968,AZ_West
1968-09-01,0.0041856908296051,9,1968,AZ_West
1968-10-01,0.0039322451874659,10,1968,AZ_West
1968-11-01,0.0031136633889974,11,1968,AZ_West
1968-12-01,0.0019392736987761,12,1968,AZ_West
1969-01-01,0.0038275723107518,1,1969,AZ_West
1969-02-01,0.0030734369311841,2,1969,AZ_West
1969-03-01,0.0023939467693357,3,1969,AZ_West
1969-04-01,0.0027628034431972,4,1969,AZ_West
1969-05-01,0.003174008322373,5,1969,AZ_West
1969-06-01,0.0042167999991955,6,1969,AZ_West
1969-07-01,0.0069327228455769,7,1969,AZ_West
1969-08-01,0.0076110902231394,8,1969,AZ_West
1969-09-01,0.0064444320045239,9,1969,AZ_West
1969-10-01,0.0034298135603977,10,1969,AZ_West
1969-11-01,0.0034349517850579,11,1969,AZ_West
1969-12-01,0.0029055971199673,12,1969,AZ_West
1970-01-01,0.0026052358839765,1,1970,AZ_West
1970-02-01,0.002731105249078,2,1970,AZ_West
1970-03-01,0.0027509746833905,3,1970,AZ_West
1970-04-01,0.0019066702816875,4,1970,AZ_West
1970-05-01,0.0027205300901687,5,1970,AZ_West
1970-06-01,0.0034550821530394,6,1970,AZ_West
1970-07-01,0.0065358105556501,7,1970,AZ_West
1970-08-01,0.0083187556247994,8,1970,AZ_West
1970-09-01,0.004212492145219,9,1970,AZ_West
1970-10-01,0.0031550776896253,10,1970,AZ_West
1970-11-01,0.0028584282875415,11,1970,AZ_West
1970-12-01,0.0027918286412066,12,1970,AZ_West
1971-01-01,0.0024925482162573,1,1971,AZ_West
1971-02-01,0.0023174918052317,2,1971,AZ_West
1971-03-01,0.0019743752234566,3,1971,AZ_West
1971-04-01,0.0023279907127472,4,1971,AZ_West
1971-05-01,0.0032141340443999,5,1971,AZ_West
1971-06-01,0.0032452830885724,6,1971,AZ_West
1971-07-01,0.0056757801784042,7,1971,AZ_West
1971-08-01,0.0097180610434337,8,1971,AZ_West
1971-09-01,0.004451119833001,9,1971,AZ_West
1971-10-01,0.0036498869755229,10,1971,AZ_West
1971-11-01,0.0027860524232325,11,1971,AZ_West
1971-12-01,0.0029095551969078,12,1971,AZ_West
1972-01-01,0.0019284383057519,1,1972,AZ_West
1972-02-01,0.0019711656693733,2,1972,AZ_West
1972-03-01,0.0022308191543492,3,1972,AZ_West
1972-04-01,0.0021857902578303,4,1972,AZ_West
1972-05-01,0.0027339433399489,5,1972,AZ_West
1972-06-01,0.0050834264717881,6,1972,AZ_West
1972-07-01,0.0054314385329605,7,1972,AZ_West
1972-08-01,0.0069750591584719,8,1972,AZ_West
1972-09-01,0.0056879622130174,9,1972,AZ_West
1972-10-01,0.0061336201302486,10,1972,AZ_West
