time,tp,Month,Year,Region
1963-06-01,0.0001411949963236,6,1963,AZ_West
1963-07-01,6.386426589293798e-05,7,1963,AZ_West
1963-08-01,0.0012022105583737,8,1963,AZ_West
1963-09-01,0.0012398060280675,9,1963,AZ_West
1963-10-01,0.0008290823277236,10,1963,AZ_West
1963-11-01,0.0008085202189818,11,1963,AZ_West
1963-12-01,4.999377273850904e-05,12,1963,AZ_West
1964-01-01,0.0003534782208456,1,1964,AZ_West
1964-02-01,8.74089034789905e-05,2,1964,AZ_West
1964-03-01,0.0007666902519404,3,1964,AZ_West
1964-04-01,0.0006215416708697,4,1964,AZ_West
1964-05-01,0.0002944050754159,5,1964,AZ_West
1964-06-01,0.0001143765131224,6,1964,AZ_West
1964-07-01,0.0003995721637173,7,1964,AZ_West
1964-08-01,0.0006259981238522,8,1964,AZ_West
1964-09-01,0.0003200790998745,9,1964,AZ_West
1964-10-01,0.0001768570243538,10,1964,AZ_West
1964-11-01,0.0005539579140634,11,1964,AZ_West
1964-12-01,0.0004524426895678,12,1964,AZ_West
1965-01-01,0.0005021278052515,1,1965,AZ_West
1965-02-01,0.0006311239117962,2,1965,AZ_West
1965-03-01,0.0009245544632526,3,1965,AZ_West
1965-04-01,0.0025680058877441,4,1965,AZ_West
1965-05-01,0.0003761523761759,5,1965,AZ_West
1965-06-01,0.0001811799571497,6,1965,AZ_West
1965-07-01,0.0004595140573743,7,1965,AZ_West
1965-08-01,0.0004024957355961,8,1965,AZ_West
1965-09-01,0.0006747277898887,9,1965,AZ_West
1965-10-01,0.0001492374200328,10,1965,AZ_West
1965-11-01,0.0022739753624621,11,1965,AZ_West
1965-12-01,0.002699365474995,12,1965,AZ_West
1966-01-01,0.0004872515756263,1,1966,AZ_West
1966-02-01,0.0007837444212333,2,1966,AZ_West
1966-03-01,0.0001878663706518,3,1966,AZ_West
1966-04-01,0.000127555128946,4,1966,AZ_West
1966-05-01,0.0001537615001228,5,1966,AZ_West
1966-06-01,9.159831608820405e-05,6,1966,AZ_West
1966-07-01,0.000322583036881,7,1966,AZ_West
1966-08-01,0.0004407119874564,8,1966,AZ_West
1966-09-01,0.0008200116251744,9,1966,AZ_West
1966-10-01,0.0004544593645945,10,1966,AZ_West
1966-11-01,0.0004042887209595,11,1966,AZ_West
1966-12-01,0.0011231908842835,12,1966,AZ_West
1967-01-01,0.0005504603787849,1,1967,AZ_West
1967-02-01,4.077220971872503e-05,2,1967,AZ_West
1967-03-01,0.0002924265490139,3,1967,AZ_West
1967-04-01,0.0006534547295038,4,1967,AZ_West
1967-05-01,0.0002003912577695,5,1967,AZ_West
1967-06-01,0.0004070614323676,6,1967,AZ_West
1967-07-01,0.0004767572357625,7,1967,AZ_West
1967-08-01,0.0007849946557082,8,1967,AZ_West
1967-09-01,0.0017519721237143,9,1967,AZ_West
1967-10-01,8.459110733247879e-05,10,1967,AZ_West
1967-11-01,0.0009634157736769,11,1967,AZ_West
1967-12-01,0.0019564123377928,12,1967,AZ_West
1968-01-01,0.00039964499291,1,1968,AZ_West
1968-02-01,0.0008282846746606,2,1968,AZ_West
1968-03-01,0.0006008044252598,3,1968,AZ_West
1968-04-01,0.0003716612426254,4,1968,AZ_West
1968-05-01,0.0001238616484586,5,1968,AZ_West
1968-06-01,0.0002597765283108,6,1968,AZ_West
1968-07-01,0.0008211526158602,7,1968,AZ_West
1968-08-01,0.0004510832113039,8,1968,AZ_West
1968-09-01,5.94199511092398e-05,9,1968,AZ_West
1968-10-01,0.0003065398061441,10,1968,AZ_West
1968-11-01,0.0003149359716465,11,1968,AZ_West
1968-12-01,0.0006944922455674,12,1968,AZ_West
1969-01-01,0.0022180217341201,1,1969,AZ_West
1969-02-01,0.0018195506784354,2,1969,AZ_West
1969-03-01,0.0005246389619125,3,1969,AZ_West
1969-04-01,0.0001393638623354,4,1969,AZ_West
1969-05-01,0.0004551044231585,5,1969,AZ_West
1969-06-01,0.0001587017470283,6,1969,AZ_West
1969-07-01,0.0004292882083713,7,1969,AZ_West
1969-08-01,0.0003145354110866,8,1969,AZ_West
1969-09-01,0.0004850250831635,9,1969,AZ_West
1969-10-01,0.0003126106395649,10,1969,AZ_West
1969-11-01,0.0006332897132652,11,1969,AZ_West
1969-12-01,0.0001514881888932,12,1969,AZ_West
1970-01-01,0.0002089625601401,1,1970,AZ_West
1970-02-01,0.0005469403011373,2,1970,AZ_West
1970-03-01,0.0014743073584512,3,1970,AZ_West
1970-04-01,0.0002687587954116,4,1970,AZ_West
1970-05-01,3.263094639080371e-05,5,1970,AZ_West
1970-06-01,9.98176106940289e-05,6,1970,AZ_West
1970-07-01,0.0002850326519255,7,1970,AZ_West
1970-08-01,0.0005560716946804,8,1970,AZ_West
1970-09-01,0.0005739911441438,9,1970,AZ_West
1970-10-01,0.0001066739589791,10,1970,AZ_West
1970-11-01,0.0005016717557829,11,1970,AZ_West
1970-12-01,0.0007681849844194,12,1970,AZ_West
1971-01-01,0.0001342172660506,1,1971,AZ_West
1971-02-01,0.0005090639188429,2,1971,AZ_West
1971-03-01,9.10538311712781e-05,3,1971,AZ_West
1971-04-01,0.0002556165941843,4,1971,AZ_West
1971-05-01,0.0006541656811469,5,1971,AZ_West
1971-06-01,2.3764859192579688e-05,6,1971,AZ_West
1971-07-01,0.0001950556523893,7,1971,AZ_West
1971-08-01,0.0013992083225686,8,1971,AZ_West
